route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,shape_id                                                                     
10T0001C1,1023X,1023X19799C1,       ,1,1023X19799,10_C1                                                                                               
10T0001C1,1023X,1023X19800C1,       ,1,1023X19800,10_C1                                                                                               
10T0001C1,1023X,1023X19802C1,       ,1,1023X19802,10_C1                                                                                               
10T0001C1,1023X,1023X19804C1,       ,1,1023X19804,10_C1                                                                                               
10T0001C1,1023X,1023X19806C1,       ,1,1023X19806,10_C1                                                                                               
10T0001C1,1023X,1023X19808C1,       ,1,1023X19808,10_C1                                                                                               
10T0001C1,1023X,1023X19810C1,       ,1,1023X19810,10_C1                                                                                               
10T0001C1,1023X,1023X19812C1,       ,1,1023X19812,10_C1                                                                                               
10T0001C1,1023X,1023X19814C1,       ,1,1023X19814,10_C1                                                                                               
10T0001C1,1023X,1023X19816C1,       ,1,1023X19816,10_C1                                                                                               
10T0001C1,1023X,1023X19818C1,       ,1,1023X19818,10_C1                                                                                               
10T0001C1,1023X,1023X19820C1,       ,1,1023X19820,10_C1                                                                                               
10T0001C1,1023X,1023X19822C1,       ,1,1023X19822,10_C1                                                                                               
10T0001C1,1023X,1023X19824C1,       ,1,1023X19824,10_C1                                                                                               
10T0001C1,1023X,1023X19826C1,       ,1,1023X19826,10_C1                                                                                               
10T0001C1,1023X,1023X19828C1,       ,1,1023X19828,10_C1                                                                                               
10T0001C1,1023X,1023X19830C1,       ,1,1023X19830,10_C1                                                                                               
10T0001C1,1023X,1023X19832C1,       ,1,1023X19832,10_C1                                                                                               
10T0001C1,1023X,1023X19834C1,       ,1,1023X19834,10_C1                                                                                               
10T0001C1,1023X,1023X19836C1,       ,1,1023X19836,10_C1                                                                                               
10T0001C1,1023X,1023X19838C1,       ,1,1023X19838,10_C1                                                                                               
10T0001C1,1023X,1023X19840C1,       ,1,1023X19840,10_C1                                                                                               
10T0001C1,1023X,1023X19842C1,       ,1,1023X19842,10_C1                                                                                               
10T0001C1,1023X,1023X19844C1,       ,1,1023X19844,10_C1                                                                                               
10T0001C1,1023X,1023X19846C1,       ,1,1023X19846,10_C1                                                                                               
10T0001C1,1023X,1023X19848C1,       ,1,1023X19848,10_C1                                                                                               
10T0001C1,1023X,1023X19850C1,       ,1,1023X19850,10_C1                                                                                               
10T0001C1,1023X,1023X19852C1,       ,1,1023X19852,10_C1                                                                                               
10T0001C1,1023X,1023X19854C1,       ,1,1023X19854,10_C1                                                                                               
10T0001C1,1023X,1023X19856C1,       ,1,1023X19856,10_C1                                                                                               
10T0001C1,1023X,1023X19858C1,       ,1,1023X19858,10_C1                                                                                               
10T0001C1,1023X,1023X19860C1,       ,1,1023X19860,10_C1                                                                                               
10T0001C1,1023X,1023X19862C1,       ,1,1023X19862,10_C1                                                                                               
10T0001C1,1023X,1023X19864C1,       ,1,1023X19864,10_C1                                                                                               
10T0001C1,1023X,1023X19866C1,       ,1,1023X19866,10_C1                                                                                               
10T0001C1,1023X,1023X19868C1,       ,1,1023X19868,10_C1                                                                                               
10T0001C1,1023X,1023X19870C1,       ,1,1023X19870,10_C1                                                                                               
10T0001C1,1023X,1023X19872C1,       ,1,1023X19872,10_C1                                                                                               
10T0001C1,1023X,1023X19874C1,       ,1,1023X19874,10_C1                                                                                               
10T0001C1,1023X,1023X19876C1,       ,1,1023X19876,10_C1                                                                                               
10T0001C1,1023X,1023X19878C1,       ,1,1023X19878,10_C1                                                                                               
10T0001C1,1023X,1023X19880C1,       ,1,1023X19880,10_C1                                                                                               
10T0001C1,1023X,1023X19882C1,       ,1,1023X19882,10_C1                                                                                               
10T0001C1,1023X,1023X19884C1,       ,1,1023X19884,10_C1                                                                                               
10T0001C1,1023X,1023X19886C1,       ,1,1023X19886,10_C1                                                                                               
10T0001C1,1023X,1023X19888C1,       ,1,1023X19888,10_C1                                                                                               
10T0001C1,1023X,1023X19890C1,       ,1,1023X19890,10_C1                                                                                               
10T0001C1,1023X,1023X19892C1,       ,1,1023X19892,10_C1                                                                                               
10T0001C1,1023X,1023X19894C1,       ,1,1023X19894,10_C1                                                                                               
10T0001C1,1023X,1023X19896C1,       ,1,1023X19896,10_C1                                                                                               
10T0001C1,1023X,1023X19898C1,       ,1,1023X19898,10_C1                                                                                               
10T0001C1,1023X,1023X19900C1,       ,1,1023X19900,10_C1                                                                                               
10T0001C1,1023X,1023X19902C1,       ,1,1023X19902,10_C1                                                                                               
10T0001C1,1023X,1023X19904C1,       ,1,1023X19904,10_C1                                                                                               
10T0001C1,1023X,1023X19906C1,       ,1,1023X19906,10_C1                                                                                               
10T0001C1,1023X,1023X19908C1,       ,1,1023X19908,10_C1                                                                                               
10T0001C1,1023X,1023X19910C1,       ,1,1023X19910,10_C1                                                                                               
10T0001C1,1023X,1023X19912C1,       ,1,1023X19912,10_C1                                                                                               
10T0001C1,1023X,1023X19914C1,       ,1,1023X19914,10_C1                                                                                               
10T0001C1,1023X,1023X19916C1,       ,1,1023X19916,10_C1                                                                                               
10T0001C1,1023X,1023X19918C1,       ,1,1023X19918,10_C1                                                                                               
10T0001C1,1023X,1023X19920C1,       ,1,1023X19920,10_C1                                                                                               
10T0001C1,1023X,1023X19922C1,       ,1,1023X19922,10_C1                                                                                               
10T0001C1,1023X,1023X19924C1,       ,1,1023X19924,10_C1                                                                                               
10T0001C1,1023X,1023X19926C1,       ,1,1023X19926,10_C1                                                                                               
10T0001C1,1023X,1023X19928C1,       ,1,1023X19928,10_C1                                                                                               
10T0001C1,1023X,1023X19930C1,       ,1,1023X19930,10_C1                                                                                               
10T0001C1,1023X,1023X19932C1,       ,1,1023X19932,10_C1                                                                                               
10T0001C1,1023X,1023X19934C1,       ,1,1023X19934,10_C1                                                                                               
10T0001C1,1023X,1023X19936C1,       ,1,1023X19936,10_C1                                                                                               
